"","SubjID","ItemID","Cat","Answer"
"25","A1VNYP58BTF4HX","Answer.nc1","Superiority-obeying",5
"26","A1VNYP58BTF4HX","Answer.nc2","Superiority-obeying",4
"27","A1VNYP58BTF4HX","Answer.nc3","Superiority-obeying",5
"28","A1VNYP58BTF4HX","Answer.nc4","Superiority-obeying",5
"29","A1VNYP58BTF4HX","Answer.nc5","Superiority-obeying",5
"30","A1VNYP58BTF4HX","Answer.nc6","Superiority-obeying",5
"31","A1VNYP58BTF4HX","Answer.f10","Superiority-violating",5
"32","A1VNYP58BTF4HX","Answer.f11","Superiority-violating",5
"33","A1VNYP58BTF4HX","Answer.f12","Superiority-violating",4
"34","A1VNYP58BTF4HX","Answer.f7","Superiority-violating",5
"35","A1VNYP58BTF4HX","Answer.f8","Superiority-violating",3
"36","A1VNYP58BTF4HX","Answer.f9","Superiority-violating",4
"61","AGBLVZJFLIBKO","Answer.nc1","Superiority-obeying",5
"62","AGBLVZJFLIBKO","Answer.nc2","Superiority-obeying",5
"63","AGBLVZJFLIBKO","Answer.nc3","Superiority-obeying",5
"64","AGBLVZJFLIBKO","Answer.nc4","Superiority-obeying",5
"65","AGBLVZJFLIBKO","Answer.nc5","Superiority-obeying",4
"66","AGBLVZJFLIBKO","Answer.nc6","Superiority-obeying",5
"67","AGBLVZJFLIBKO","Answer.f10","Superiority-violating",5
"68","AGBLVZJFLIBKO","Answer.f11","Superiority-violating",4
"69","AGBLVZJFLIBKO","Answer.f12","Superiority-violating",5
"70","AGBLVZJFLIBKO","Answer.f7","Superiority-violating",4
"71","AGBLVZJFLIBKO","Answer.f8","Superiority-violating",5
"72","AGBLVZJFLIBKO","Answer.f9","Superiority-violating",5
"97","A3JLWBEHC4VIOM","Answer.nc1","Superiority-obeying",5
"98","A3JLWBEHC4VIOM","Answer.nc2","Superiority-obeying",5
"99","A3JLWBEHC4VIOM","Answer.nc3","Superiority-obeying",5
"100","A3JLWBEHC4VIOM","Answer.nc4","Superiority-obeying",5
"101","A3JLWBEHC4VIOM","Answer.nc5","Superiority-obeying",5
"102","A3JLWBEHC4VIOM","Answer.nc6","Superiority-obeying",5
"103","A3JLWBEHC4VIOM","Answer.f10","Superiority-violating",5
"104","A3JLWBEHC4VIOM","Answer.f11","Superiority-violating",2
"105","A3JLWBEHC4VIOM","Answer.f12","Superiority-violating",5
"106","A3JLWBEHC4VIOM","Answer.f7","Superiority-violating",5
"107","A3JLWBEHC4VIOM","Answer.f8","Superiority-violating",3
"108","A3JLWBEHC4VIOM","Answer.f9","Superiority-violating",5
"133","A39RGARQZH9C9J","Answer.nc1","Superiority-obeying",5
"134","A39RGARQZH9C9J","Answer.nc2","Superiority-obeying",5
"135","A39RGARQZH9C9J","Answer.nc3","Superiority-obeying",5
"136","A39RGARQZH9C9J","Answer.nc4","Superiority-obeying",5
"137","A39RGARQZH9C9J","Answer.nc5","Superiority-obeying",5
"138","A39RGARQZH9C9J","Answer.nc6","Superiority-obeying",1
"139","A39RGARQZH9C9J","Answer.f10","Superiority-violating",1
"140","A39RGARQZH9C9J","Answer.f11","Superiority-violating",5
"141","A39RGARQZH9C9J","Answer.f12","Superiority-violating",5
"142","A39RGARQZH9C9J","Answer.f7","Superiority-violating",1
"143","A39RGARQZH9C9J","Answer.f8","Superiority-violating",1
"144","A39RGARQZH9C9J","Answer.f9","Superiority-violating",5
"169","A1A3TGZ7DKJWRW","Answer.nc1","Superiority-obeying",5
"170","A1A3TGZ7DKJWRW","Answer.nc2","Superiority-obeying",5
"171","A1A3TGZ7DKJWRW","Answer.nc3","Superiority-obeying",5
"172","A1A3TGZ7DKJWRW","Answer.nc4","Superiority-obeying",1
"173","A1A3TGZ7DKJWRW","Answer.nc5","Superiority-obeying",1
"174","A1A3TGZ7DKJWRW","Answer.nc6","Superiority-obeying",5
"175","A1A3TGZ7DKJWRW","Answer.f10","Superiority-violating",5
"176","A1A3TGZ7DKJWRW","Answer.f11","Superiority-violating",5
"177","A1A3TGZ7DKJWRW","Answer.f12","Superiority-violating",1
"178","A1A3TGZ7DKJWRW","Answer.f7","Superiority-violating",5
"179","A1A3TGZ7DKJWRW","Answer.f8","Superiority-violating",5
"180","A1A3TGZ7DKJWRW","Answer.f9","Superiority-violating",5
"241","A2YCMT5BPA0AG9","Answer.nc1","Superiority-obeying",5
"242","A2YCMT5BPA0AG9","Answer.nc2","Superiority-obeying",5
"243","A2YCMT5BPA0AG9","Answer.nc3","Superiority-obeying",3
"244","A2YCMT5BPA0AG9","Answer.nc4","Superiority-obeying",5
"245","A2YCMT5BPA0AG9","Answer.nc5","Superiority-obeying",5
"246","A2YCMT5BPA0AG9","Answer.nc6","Superiority-obeying",5
"247","A2YCMT5BPA0AG9","Answer.f10","Superiority-violating",5
"248","A2YCMT5BPA0AG9","Answer.f11","Superiority-violating",5
"249","A2YCMT5BPA0AG9","Answer.f12","Superiority-violating",4
"250","A2YCMT5BPA0AG9","Answer.f7","Superiority-violating",4
"251","A2YCMT5BPA0AG9","Answer.f8","Superiority-violating",5
"252","A2YCMT5BPA0AG9","Answer.f9","Superiority-violating",4
"277","A323O8GJP2B28X","Answer.nc1","Superiority-obeying",5
"278","A323O8GJP2B28X","Answer.nc2","Superiority-obeying",5
"279","A323O8GJP2B28X","Answer.nc3","Superiority-obeying",5
"280","A323O8GJP2B28X","Answer.nc4","Superiority-obeying",5
"281","A323O8GJP2B28X","Answer.nc5","Superiority-obeying",5
"282","A323O8GJP2B28X","Answer.nc6","Superiority-obeying",5
"283","A323O8GJP2B28X","Answer.f10","Superiority-violating",4
"284","A323O8GJP2B28X","Answer.f11","Superiority-violating",5
"285","A323O8GJP2B28X","Answer.f12","Superiority-violating",5
"286","A323O8GJP2B28X","Answer.f7","Superiority-violating",5
"287","A323O8GJP2B28X","Answer.f8","Superiority-violating",4
"288","A323O8GJP2B28X","Answer.f9","Superiority-violating",5
"457","A2R4X74AIATLEE","Answer.nc1","Superiority-obeying",5
"458","A2R4X74AIATLEE","Answer.nc2","Superiority-obeying",5
"459","A2R4X74AIATLEE","Answer.nc3","Superiority-obeying",1
"460","A2R4X74AIATLEE","Answer.nc4","Superiority-obeying",5
"461","A2R4X74AIATLEE","Answer.nc5","Superiority-obeying",5
"462","A2R4X74AIATLEE","Answer.nc6","Superiority-obeying",5
"463","A2R4X74AIATLEE","Answer.f10","Superiority-violating",4
"464","A2R4X74AIATLEE","Answer.f11","Superiority-violating",4
"465","A2R4X74AIATLEE","Answer.f12","Superiority-violating",5
"466","A2R4X74AIATLEE","Answer.f7","Superiority-violating",4
"467","A2R4X74AIATLEE","Answer.f8","Superiority-violating",2
"468","A2R4X74AIATLEE","Answer.f9","Superiority-violating",4
"493","A1MI97WAP3WYZ","Answer.nc1","Superiority-obeying",1
"494","A1MI97WAP3WYZ","Answer.nc2","Superiority-obeying",2
"495","A1MI97WAP3WYZ","Answer.nc3","Superiority-obeying",1
"496","A1MI97WAP3WYZ","Answer.nc4","Superiority-obeying",5
"497","A1MI97WAP3WYZ","Answer.nc5","Superiority-obeying",2
"498","A1MI97WAP3WYZ","Answer.nc6","Superiority-obeying",5
"499","A1MI97WAP3WYZ","Answer.f10","Superiority-violating",3
"500","A1MI97WAP3WYZ","Answer.f11","Superiority-violating",2
"501","A1MI97WAP3WYZ","Answer.f12","Superiority-violating",5
"502","A1MI97WAP3WYZ","Answer.f7","Superiority-violating",2
"503","A1MI97WAP3WYZ","Answer.f8","Superiority-violating",1
"504","A1MI97WAP3WYZ","Answer.f9","Superiority-violating",2
"529","AFHRMJIHMGLDE","Answer.nc1","Superiority-obeying",5
"530","AFHRMJIHMGLDE","Answer.nc2","Superiority-obeying",5
"531","AFHRMJIHMGLDE","Answer.nc3","Superiority-obeying",5
"532","AFHRMJIHMGLDE","Answer.nc4","Superiority-obeying",5
"533","AFHRMJIHMGLDE","Answer.nc5","Superiority-obeying",5
"534","AFHRMJIHMGLDE","Answer.nc6","Superiority-obeying",5
"535","AFHRMJIHMGLDE","Answer.f10","Superiority-violating",5
"536","AFHRMJIHMGLDE","Answer.f11","Superiority-violating",5
"537","AFHRMJIHMGLDE","Answer.f12","Superiority-violating",5
"538","AFHRMJIHMGLDE","Answer.f7","Superiority-violating",5
"539","AFHRMJIHMGLDE","Answer.f8","Superiority-violating",5
"540","AFHRMJIHMGLDE","Answer.f9","Superiority-violating",5
"565","A3GYJ7ZDKUZP7L","Answer.nc1","Superiority-obeying",5
"566","A3GYJ7ZDKUZP7L","Answer.nc2","Superiority-obeying",5
"567","A3GYJ7ZDKUZP7L","Answer.nc3","Superiority-obeying",5
"568","A3GYJ7ZDKUZP7L","Answer.nc4","Superiority-obeying",5
"569","A3GYJ7ZDKUZP7L","Answer.nc5","Superiority-obeying",5
"570","A3GYJ7ZDKUZP7L","Answer.nc6","Superiority-obeying",5
"571","A3GYJ7ZDKUZP7L","Answer.f10","Superiority-violating",5
"572","A3GYJ7ZDKUZP7L","Answer.f11","Superiority-violating",4
"573","A3GYJ7ZDKUZP7L","Answer.f12","Superiority-violating",4
"574","A3GYJ7ZDKUZP7L","Answer.f7","Superiority-violating",3
"575","A3GYJ7ZDKUZP7L","Answer.f8","Superiority-violating",5
"576","A3GYJ7ZDKUZP7L","Answer.f9","Superiority-violating",5
"601","ASS4LIVDW452F","Answer.nc1","Superiority-obeying",5
"602","ASS4LIVDW452F","Answer.nc2","Superiority-obeying",5
"603","ASS4LIVDW452F","Answer.nc3","Superiority-obeying",3
"604","ASS4LIVDW452F","Answer.nc4","Superiority-obeying",5
"605","ASS4LIVDW452F","Answer.nc5","Superiority-obeying",5
"606","ASS4LIVDW452F","Answer.nc6","Superiority-obeying",5
"607","ASS4LIVDW452F","Answer.f10","Superiority-violating",5
"608","ASS4LIVDW452F","Answer.f11","Superiority-violating",3
"609","ASS4LIVDW452F","Answer.f12","Superiority-violating",5
"610","ASS4LIVDW452F","Answer.f7","Superiority-violating",5
"611","ASS4LIVDW452F","Answer.f8","Superiority-violating",2
"612","ASS4LIVDW452F","Answer.f9","Superiority-violating",5
